Mat,Jase,Frank,Gez
0.00,0.00,0.00,0.00
14.09,8.14,7.93,0.00,
0.00,0.00,0.00,0.00
0.00,6.15,12.32,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,6.44,8.83,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
9.90,9.90,9.04,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,13.64,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
58.30,0.00,21.94,0.00
33.77,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,2.81,0.00,0.00
16.88,0.00,11.58,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
16.00,0.00,0.00,0.00
